Cell.Potential (V)	Cell.Current (A)
1.375396	-0.000013533
1.374294	-1.53133E-005
1.373419	-3.222644E-005
1.372245	-2.332479E-005
1.37133	-1.976413E-005
1.370471	-2.510512E-005
1.369499	-1.79838E-005
1.36817	-2.154446E-005
1.36749	-1.976413E-005
1.366558	-3.222644E-005
1.365441	-2.866578E-005
1.364153	-2.243462E-005
1.363383	-1.53133E-005
1.362468	-3.044611E-005
1.361577	-2.955594E-005
1.360281	-2.777561E-005
1.359382	-2.510512E-005
1.35845	-0.000024215
1.357559	-1.976413E-005
1.356004	-3.222644E-005
1.355186	-1.79838E-005
1.354335	-2.777561E-005
1.35346	-2.065429E-005
1.352448	-2.065429E-005
1.351314	-3.489693E-005
1.350228	-3.133627E-005
1.349418	-3.400677E-005
1.348438	-3.489693E-005
1.34749	-1.976413E-005
1.346364	-3.31166E-005
1.345546	-3.489693E-005
1.344404	-3.133627E-005
1.343351	-2.332479E-005
1.342476	-2.688545E-005
1.341415	-1.976413E-005
1.340378	-2.955594E-005
1.33922	-4.112809E-005
1.338386	-3.133627E-005
1.33747	-3.133627E-005
1.336522	-3.044611E-005
1.335235	-2.866578E-005
1.334254	-3.222644E-005
1.333363	-3.222644E-005
1.332424	-2.510512E-005
1.331484	-2.243462E-005
1.330148	-2.510512E-005
1.329402	-2.599528E-005
1.328414	-3.934776E-005
1.327418	-3.84576E-005
1.326413	-3.044611E-005
1.325239	-2.777561E-005
1.324234	-3.84576E-005
1.323457	-2.510512E-005
1.322104	-3.57871E-005
1.321318	-3.489693E-005
1.320541	-3.934776E-005
1.31939	-3.31166E-005
1.318224	-3.667727E-005
1.317268	-3.133627E-005
1.316385	-3.489693E-005
1.3153	-3.400677E-005
1.314376	-3.31166E-005
1.313234	-3.133627E-005
1.312254	-3.400677E-005
1.311573	-2.866578E-005
1.310448	-2.599528E-005
1.30907	-3.044611E-005
1.308236	-3.044611E-005
1.30741	-4.023793E-005
1.306333	-4.379859E-005
1.305231	-3.400677E-005
1.304324	-3.756743E-005
1.303449	-3.756743E-005
1.302331	-3.489693E-005
1.301148	-3.489693E-005
1.300128	-4.201826E-005
1.299399	-4.646908E-005
1.298289	-2.866578E-005
1.297406	-4.201826E-005
1.296369	-3.756743E-005
1.295421	-4.112809E-005
1.294344	-3.934776E-005
1.293477	-3.133627E-005
1.292157	-4.112809E-005
1.291242	-4.379859E-005
1.290237	-4.646908E-005
1.289484	-3.756743E-005
1.288236	-2.688545E-005
1.287281	-4.112809E-005
1.28643	-3.667727E-005
1.285418	-4.290842E-005
1.284154	-4.112809E-005
1.283336	-4.201826E-005
1.282202	-4.646908E-005
1.281286	-4.201826E-005
1.280598	-4.468875E-005
1.27931	-3.57871E-005
1.27833	-3.667727E-005
1.277358	-4.023793E-005
1.276394	-4.913958E-005
1.275292	-4.290842E-005
1.27428	-3.667727E-005
1.273275	-4.379859E-005
1.272295	-6.249205E-005
1.271153	-4.735925E-005
1.270035	-4.557892E-005
1.269176	-4.557892E-005
1.268326	-5.537073E-005
1.267192	-4.379859E-005
1.266204	-4.290842E-005
1.265337	-3.934776E-005
1.264397	-4.735925E-005
1.263158	-4.468875E-005
1.262267	-4.557892E-005
1.261311	-4.379859E-005
1.260428	-5.715106E-005
1.259505	-4.646908E-005
1.258241	-4.468875E-005
1.257204	-6.427238E-005
1.256264	-4.735925E-005
1.255471	-4.201826E-005
1.25415	-4.824941E-005
1.253356	-5.62609E-005
1.252214	-5.893139E-005
1.251372	-5.893139E-005
1.250392	-5.091991E-005
1.249209	-5.893139E-005
1.248415	-4.557892E-005
1.247362	-4.557892E-005
1.246325	-4.112809E-005
